Name,Author,Avg Rating,Rating Count,Score,Vote Count
The Lord of the Rings (Middle Earth\, #2-4),J.R.R. Tolkien,4.53,693870,8686.0,89
Harry Potter and the Sorcerer's Stone (Harry Potter\, #1),J.K. Rowling,4.47,10508774,7453.0,77
Gone with the Wind,Margaret Mitchell,4.31,1236901,4935.0,50
The Godfather (The Godfather\, #1),Mario Puzo,4.39,435524,4674.0,48
To Kill a Mockingbird,Harper Lee,4.26,6383637,4373.0,45
Harry Potter and the Deathly Hallows (Harry Potter\, #7),J.K. Rowling,4.62,3849464,4329.0,46
The Hunger Games (The Hunger Games\, #1),Suzanne Collins,4.34,9043838,4237.0,44
Pride and Prejudice,Jane Austen,4.29,4411680,3848.0,41
The Help,Kathryn Stockett,0.0,0,3696.0,39
The Silence of the Lambs  (Hannibal Lecter\, #2),Thomas  Harris,4.25,563514,3383.0,36
The Girl with the Dragon Tattoo (Millennium\, #1),Stieg Larsson,4.17,3273670,3086.0,34
The Princess Bride,William Goldman,4.27,916607,2942.0,31
Different Seasons,Stephen        King,0.0,0,2925.0,31
The Green Mile,Stephen        King,0.0,0,2924.0,31
The Hobbit (The Lord of the Rings\, #0),J.R.R. Tolkien,4.29,4170391,2885.0,32
A Game of Thrones (A Song of Ice and Fire\, #1),George R.R. Martin,4.44,2576823,2855.0,30
Harry Potter and the Chamber of Secrets (Harry Potter\, #2),J.K. Rowling,4.43,4122348,2730.0,31
Harry Potter and the Prisoner of Azkaban (Harry Potter\, #3),J.K. Rowling,4.58,4409174,2642.0,31
The Lion\, the Witch and the Wardrobe (Chronicles of Narnia\, #1),C.S. Lewis,4.24,2903388,2557.0,28
Harry Potter and the Half-Blood Prince (Harry Potter\, #6),J.K. Rowling,4.58,3408779,2370.0,27
Jane Eyre,Charlotte Brontë,4.15,2164624,2303.0,25
The Shining (The Shining\, #1),Stephen        King,0.0,0,2216.0,24
Harry Potter and the Goblet of Fire (Harry Potter\, #4),J.K. Rowling,4.57,3867839,2129.0,25
Misery,Stephen        King,0.0,0,2105.0,23
The Notebook (The Notebook\, #1),Nicholas Sparks,0.0,0,2063.0,22
Dracula,Bram Stoker,4.02,1333587,2020.0,22
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,748794,1998.0,22
Sense and Sensibility,Jane Austen,4.09,1230000,1953.0,22
The Exorcist,William Peter Blatty,4.2,247139,1907.0,21
Jaws (Jaws\, #1),Peter Benchley,3.95,168452,1858.0,21
Jurassic Park (Jurassic Park\, #1),Michael Crichton,4.11,988776,1811.0,21
Harry Potter and the Order of the Phoenix (Harry Potter\, #5),J.K. Rowling,4.5,3522599,1799.0,22
Anne of Green Gables (Anne of Green Gables\, #1),L.M. Montgomery,4.32,1024616,1691.0,19
Carrie,Stephen        King,0.0,0,1665.0,19
A Christmas Carol,Charles Dickens,4.08,856444,1662.0,19
The Lovely Bones,Alice Sebold,3.86,2397423,1584.0,17
The Wonderful Wizard of Oz (Oz\, #1),L. Frank Baum,4.0,470274,1583.0,19
The Color Purple,Alice Walker,4.27,711242,1463.0,16
A Walk to Remember,Nicholas Sparks,0.0,0,1455.0,16
The Remains of the Day,Kazuo Ishiguro,0.0,0,1455.0,16
Rebecca,Daphne du Maurier,4.25,660122,1412.0,16
The Great Gatsby,F. Scott Fitzgerald,3.93,5446733,1398.0,18
Atonement,Ian McEwan,0.0,0,1395.0,17
A Clockwork Orange,Anthony Burgess,4.0,732768,1315.0,15
Rosemary’s Baby (Rosemary's Baby\, #1),Ira Levin,4.04,147694,1291.0,14
